date,store_id,item_id,qty_sold,unit_cost,promo_flag,stockout_flag,lead_time,ordering_cost,holding_rate
2022-05-22,S01,ITEM_A,38,50,0,0,7,500,0.2
2022-05-23,S01,ITEM_A,14,50,0,0,7,500,0.2
2022-05-24,S01,ITEM_A,14,50,0,0,7,500,0.2
2022-05-25,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-05-26,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-05-27,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-05-28,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-05-29,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-05-30,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-05-31,S01,ITEM_A,18,50,0,0,7,500,0.2
2022-06-01,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-06-02,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-06-03,S01,ITEM_A,21,50,0,0,7,500,0.2
2022-06-04,S01,ITEM_A,37,50,0,0,7,500,0.2
2022-06-05,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-06-06,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-06-07,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-06-08,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-06-09,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-06-10,S01,ITEM_A,17,50,0,0,7,500,0.2
2022-06-11,S01,ITEM_A,45,50,1,0,7,500,0.2
2022-06-12,S01,ITEM_A,36,50,1,0,7,500,0.2
2022-06-13,S01,ITEM_A,20,50,0,0,7,500,0.2
2022-06-14,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-06-15,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-06-16,S01,ITEM_A,21,50,0,0,7,500,0.2
2022-06-17,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-06-18,S01,ITEM_A,20,50,0,0,7,500,0.2
2022-06-19,S01,ITEM_A,19,50,0,0,7,500,0.2
2022-06-20,S01,ITEM_A,29,50,1,0,7,500,0.2
2022-06-21,S01,ITEM_A,21,50,0,0,7,500,0.2
2022-06-22,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-06-23,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-06-24,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-06-25,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-06-26,S01,ITEM_A,50,50,1,0,7,500,0.2
2022-06-27,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-06-28,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-06-29,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-06-30,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-07-01,S01,ITEM_A,37,50,1,0,7,500,0.2
2022-07-02,S01,ITEM_A,34,50,0,0,7,500,0.2
2022-07-03,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-07-04,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-07-05,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-07-06,S01,ITEM_A,23,50,0,0,7,500,0.2
2022-07-07,S01,ITEM_A,20,50,0,0,7,500,0.2
2022-07-08,S01,ITEM_A,20,50,0,0,7,500,0.2
2022-07-09,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-07-10,S01,ITEM_A,38,50,0,0,7,500,0.2
2022-07-11,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-07-12,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-07-13,S01,ITEM_A,23,50,0,0,7,500,0.2
2022-07-14,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-07-15,S01,ITEM_A,20,50,0,0,7,500,0.2
2022-07-16,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-07-17,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-07-18,S01,ITEM_A,21,50,0,0,7,500,0.2
2022-07-19,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-07-20,S01,ITEM_A,37,50,0,0,7,500,0.2
2022-07-21,S01,ITEM_A,21,50,0,0,7,500,0.2
2022-07-22,S01,ITEM_A,16,50,0,0,7,500,0.2
2022-07-23,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-07-24,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-07-25,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-07-26,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-07-27,S01,ITEM_A,35,50,0,0,7,500,0.2
2022-07-28,S01,ITEM_A,21,50,0,0,7,500,0.2
2022-07-29,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-07-30,S01,ITEM_A,40,50,0,0,7,500,0.2
2022-07-31,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-08-01,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-08-02,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-08-03,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-08-04,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-08-05,S01,ITEM_A,27,50,1,0,7,500,0.2
2022-08-06,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-08-07,S01,ITEM_A,37,50,0,0,7,500,0.2
2022-08-08,S01,ITEM_A,23,50,0,0,7,500,0.2
2022-08-09,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-08-10,S01,ITEM_A,34,50,0,0,7,500,0.2
2022-08-11,S01,ITEM_A,23,50,1,0,7,500,0.2
2022-08-12,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-08-13,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-08-14,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-08-15,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-08-16,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-08-17,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-08-18,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-08-19,S01,ITEM_A,23,50,0,0,7,500,0.2
2022-08-20,S01,ITEM_A,23,50,0,0,7,500,0.2
2022-08-21,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-08-22,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-08-23,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-08-24,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-08-25,S01,ITEM_A,21,50,0,0,7,500,0.2
2022-08-26,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-08-27,S01,ITEM_A,40,50,0,0,7,500,0.2
2022-08-28,S01,ITEM_A,39,50,0,0,7,500,0.2
2022-08-29,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-08-30,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-08-31,S01,ITEM_A,21,50,0,0,7,500,0.2
2022-09-01,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-09-02,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-09-03,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-09-04,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-09-05,S01,ITEM_A,19,50,0,0,7,500,0.2
2022-09-06,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-09-07,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-09-08,S01,ITEM_A,17,50,0,0,7,500,0.2
2022-09-09,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-09-10,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-09-11,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-09-12,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-09-13,S01,ITEM_A,17,50,0,0,7,500,0.2
2022-09-14,S01,ITEM_A,22,50,1,0,7,500,0.2
2022-09-15,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-09-16,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-09-17,S01,ITEM_A,43,50,1,0,7,500,0.2
2022-09-18,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-09-19,S01,ITEM_A,20,50,0,0,7,500,0.2
2022-09-20,S01,ITEM_A,17,50,0,0,7,500,0.2
2022-09-21,S01,ITEM_A,19,50,0,0,7,500,0.2
2022-09-22,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-09-23,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-09-24,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-09-25,S01,ITEM_A,47,50,1,0,7,500,0.2
2022-09-26,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-09-27,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-09-28,S01,ITEM_A,44,50,1,0,7,500,0.2
2022-09-29,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-09-30,S01,ITEM_A,30,50,1,0,7,500,0.2
2022-10-01,S01,ITEM_A,42,50,0,0,7,500,0.2
2022-10-02,S01,ITEM_A,41,50,0,0,7,500,0.2
2022-10-03,S01,ITEM_A,35,50,0,0,7,500,0.2
2022-10-04,S01,ITEM_A,39,50,0,0,7,500,0.2
2022-10-05,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-10-06,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-10-07,S01,ITEM_A,23,50,0,0,7,500,0.2
2022-10-08,S01,ITEM_A,50,50,0,0,7,500,0.2
2022-10-09,S01,ITEM_A,49,50,0,0,7,500,0.2
2022-10-10,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-10-11,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-10-12,S01,ITEM_A,35,50,0,0,7,500,0.2
2022-10-13,S01,ITEM_A,35,50,0,0,7,500,0.2
2022-10-14,S01,ITEM_A,37,50,0,0,7,500,0.2
2022-10-15,S01,ITEM_A,45,50,0,0,7,500,0.2
2022-10-16,S01,ITEM_A,53,50,0,0,7,500,0.2
2022-10-17,S01,ITEM_A,42,50,0,0,7,500,0.2
2022-10-18,S01,ITEM_A,39,50,0,0,7,500,0.2
2022-10-19,S01,ITEM_A,35,50,0,0,7,500,0.2
2022-10-20,S01,ITEM_A,54,50,1,0,7,500,0.2
2022-10-21,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-10-22,S01,ITEM_A,45,50,0,0,7,500,0.2
2022-10-23,S01,ITEM_A,44,50,0,0,7,500,0.2
2022-10-24,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-10-25,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-10-26,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-10-27,S01,ITEM_A,43,50,0,0,7,500,0.2
2022-10-28,S01,ITEM_A,46,50,0,0,7,500,0.2
2022-10-29,S01,ITEM_A,53,50,0,0,7,500,0.2
2022-10-30,S01,ITEM_A,51,50,0,0,7,500,0.2
2022-10-31,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-11-01,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-11-02,S01,ITEM_A,56,50,1,0,7,500,0.2
2022-11-03,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-11-04,S01,ITEM_A,53,50,0,0,7,500,0.2
2022-11-05,S01,ITEM_A,60,50,0,0,7,500,0.2
2022-11-06,S01,ITEM_A,39,50,0,0,7,500,0.2
2022-11-07,S01,ITEM_A,38,50,0,0,7,500,0.2
2022-11-08,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-11-09,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-11-10,S01,ITEM_A,62,50,1,0,7,500,0.2
2022-11-11,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-11-12,S01,ITEM_A,53,50,0,0,7,500,0.2
2022-11-13,S01,ITEM_A,46,50,0,0,7,500,0.2
2022-11-14,S01,ITEM_A,59,50,1,0,7,500,0.2
2022-11-15,S01,ITEM_A,21,50,0,0,7,500,0.2
2022-11-16,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-11-17,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-11-18,S01,ITEM_A,45,50,1,0,7,500,0.2
2022-11-19,S01,ITEM_A,51,50,0,0,7,500,0.2
2022-11-20,S01,ITEM_A,45,50,0,0,7,500,0.2
2022-11-21,S01,ITEM_A,50,50,0,0,7,500,0.2
2022-11-22,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-11-23,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-11-24,S01,ITEM_A,49,50,0,0,7,500,0.2
2022-11-25,S01,ITEM_A,38,50,0,0,7,500,0.2
2022-11-26,S01,ITEM_A,48,50,0,0,7,500,0.2
2022-11-27,S01,ITEM_A,70,50,1,0,7,500,0.2
2022-11-28,S01,ITEM_A,63,50,1,0,7,500,0.2
2022-11-29,S01,ITEM_A,40,50,0,0,7,500,0.2
2022-11-30,S01,ITEM_A,45,50,0,0,7,500,0.2
2022-12-01,S01,ITEM_A,35,50,0,0,7,500,0.2
2022-12-02,S01,ITEM_A,42,50,0,0,7,500,0.2
2022-12-03,S01,ITEM_A,40,50,0,0,7,500,0.2
2022-12-04,S01,ITEM_A,59,50,0,0,7,500,0.2
2022-12-05,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-12-06,S01,ITEM_A,46,50,0,0,7,500,0.2
2022-12-07,S01,ITEM_A,35,50,0,0,7,500,0.2
2022-12-08,S01,ITEM_A,34,50,0,0,7,500,0.2
2022-12-09,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-12-10,S01,ITEM_A,56,50,0,0,7,500,0.2
2022-12-11,S01,ITEM_A,46,50,0,0,7,500,0.2
2022-12-12,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-12-13,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-12-14,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-12-15,S01,ITEM_A,40,50,0,0,7,500,0.2
2022-12-16,S01,ITEM_A,43,50,0,0,7,500,0.2
2022-12-17,S01,ITEM_A,68,50,1,0,7,500,0.2
2022-12-18,S01,ITEM_A,50,50,0,0,7,500,0.2
2022-12-19,S01,ITEM_A,46,50,0,0,7,500,0.2
2022-12-20,S01,ITEM_A,39,50,0,0,7,500,0.2
2022-12-21,S01,ITEM_A,34,50,0,0,7,500,0.2
2022-12-22,S01,ITEM_A,69,50,1,0,7,500,0.2
2022-12-23,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-12-24,S01,ITEM_A,60,50,0,0,7,500,0.2
2022-12-25,S01,ITEM_A,43,50,0,0,7,500,0.2
2022-12-26,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-12-27,S01,ITEM_A,43,50,0,0,7,500,0.2
2022-12-28,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-12-29,S01,ITEM_A,50,50,1,0,7,500,0.2
2022-12-30,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-12-31,S01,ITEM_A,52,50,0,0,7,500,0.2
2023-01-01,S01,ITEM_A,31,50,0,0,7,500,0.2
2023-01-02,S01,ITEM_A,29,50,0,0,7,500,0.2
2023-01-03,S01,ITEM_A,20,50,0,0,7,500,0.2
2023-01-04,S01,ITEM_A,33,50,0,0,7,500,0.2
2023-01-05,S01,ITEM_A,21,50,0,0,7,500,0.2
2023-01-06,S01,ITEM_A,21,50,0,0,7,500,0.2
2023-01-07,S01,ITEM_A,38,50,1,0,7,500,0.2
2023-01-08,S01,ITEM_A,42,50,0,0,7,500,0.2
2023-01-09,S01,ITEM_A,22,50,0,0,7,500,0.2
2023-01-10,S01,ITEM_A,28,50,0,0,7,500,0.2
2023-01-11,S01,ITEM_A,29,50,0,0,7,500,0.2
2023-01-12,S01,ITEM_A,25,50,0,0,7,500,0.2
2023-01-13,S01,ITEM_A,21,50,0,0,7,500,0.2
2023-01-14,S01,ITEM_A,27,50,0,0,7,500,0.2
2023-01-15,S01,ITEM_A,30,50,0,0,7,500,0.2
2023-01-16,S01,ITEM_A,17,50,0,0,7,500,0.2
2023-01-17,S01,ITEM_A,30,50,0,0,7,500,0.2
2023-01-18,S01,ITEM_A,22,50,0,0,7,500,0.2
2023-01-19,S01,ITEM_A,0,50,0,1,7,500,0.2
2023-01-20,S01,ITEM_A,28,50,0,0,7,500,0.2
2023-01-21,S01,ITEM_A,0,50,1,1,7,500,0.2
2023-01-22,S01,ITEM_A,44,50,0,0,7,500,0.2
2023-01-23,S01,ITEM_A,31,50,0,0,7,500,0.2
2023-01-24,S01,ITEM_A,25,50,0,0,7,500,0.2
2023-01-25,S01,ITEM_A,28,50,0,0,7,500,0.2
2023-01-26,S01,ITEM_A,25,50,0,0,7,500,0.2
2023-01-27,S01,ITEM_A,32,50,0,0,7,500,0.2
2023-01-28,S01,ITEM_A,30,50,0,0,7,500,0.2
2023-01-29,S01,ITEM_A,36,50,1,0,7,500,0.2
2023-01-30,S01,ITEM_A,36,50,1,0,7,500,0.2
2023-01-31,S01,ITEM_A,27,50,0,0,7,500,0.2
2023-02-01,S01,ITEM_A,23,50,0,0,7,500,0.2
2023-02-02,S01,ITEM_A,21,50,0,0,7,500,0.2
2023-02-03,S01,ITEM_A,22,50,0,0,7,500,0.2
2023-02-04,S01,ITEM_A,51,50,1,0,7,500,0.2
2023-02-05,S01,ITEM_A,42,50,0,0,7,500,0.2
2023-02-06,S01,ITEM_A,26,50,0,0,7,500,0.2
2023-02-07,S01,ITEM_A,18,50,0,0,7,500,0.2
2023-02-08,S01,ITEM_A,16,50,0,0,7,500,0.2
2023-02-09,S01,ITEM_A,30,50,1,0,7,500,0.2
2023-02-10,S01,ITEM_A,30,50,0,0,7,500,0.2
2023-02-11,S01,ITEM_A,32,50,0,0,7,500,0.2
2023-02-12,S01,ITEM_A,33,50,0,0,7,500,0.2
2023-02-13,S01,ITEM_A,35,50,1,0,7,500,0.2
2023-02-14,S01,ITEM_A,24,50,0,0,7,500,0.2
2023-02-15,S01,ITEM_A,0,50,1,1,7,500,0.2
2023-02-16,S01,ITEM_A,19,50,0,0,7,500,0.2
2023-02-17,S01,ITEM_A,24,50,0,0,7,500,0.2
2023-02-18,S01,ITEM_A,32,50,0,0,7,500,0.2
2023-02-19,S01,ITEM_A,27,50,0,0,7,500,0.2
2023-02-20,S01,ITEM_A,27,50,0,0,7,500,0.2
2023-02-21,S01,ITEM_A,25,50,0,0,7,500,0.2
2023-02-22,S01,ITEM_A,21,50,0,0,7,500,0.2
2023-02-23,S01,ITEM_A,25,50,0,0,7,500,0.2
2023-02-24,S01,ITEM_A,22,50,0,0,7,500,0.2
2023-02-25,S01,ITEM_A,39,50,0,0,7,500,0.2
